feature,base_entropy,expected_entropy,IG,cost,IG_per_cost,num_values,numeric,categories_or_bins
PROJECT.TYPE,149.33126230693634,145.30897797226072,4.022284334675618,0.25,16.08913733870247,2,False,"['REFORM', 'USAGE.CHANGE.PARTIAL']"
FASTENER.TYPE,149.33126230693634,145.38354363942568,3.9477186675106566,0.25,15.790874670042626,7,False,"['BOLT', 'CONNECTOR', 'LAG_SCREW', 'PIN', 'SMOOTH_NAIL', 'TIMBER_BOARDS', 'WOOD_BASED_PANELS']"
BUILDING.AREA.CONSTRUCTED,149.33126230693634,145.63115242407642,3.7001098828599197,0.25,14.800439531439679,4,True,"[(None, 500.0), (500.0, 1000.0), (1000.0, 2000.0), (2000.0, None)]"
STAIR.TYPE,149.33126230693634,146.17760744200478,3.1536548649315534,0.25,12.614619459726214,3,False,"['DOUBLE_FLIGHT', 'PROTECTED', 'UNPROTECTED']"
LOCATION.TYPE,149.33126230693634,146.2244801981697,3.1067821087666516,0.25,12.427128435066606,10,False,"['AMPHITHEATRE', 'GRANDSTAND', 'HIDDEN_SPACE', 'OCCUPIABLE_ZONE', 'OUTDOOR', 'PARKING', 'PROTECTED_CORRIDOR', 'PROTECTED_STAIRS', 'SPECIAL_RISK_ENCLOSURE', 'TRIBUNE']"
JOINT.TYPE,149.33126230693634,146.26057969868216,3.070682608254174,0.25,12.282730433016695,6,False,"['BOLTS', 'CONNECTORS', 'DOWELS', 'NAILS_LAG_SCREWS', 'UNPROTECTED_EDGES.GENERAL', 'UNPROTECTED_EDGES.ONE_OR_TWO_SIDES']"
PANEL.FIXING.METHOD,149.33126230693634,146.30688995770717,3.024372349229168,0.25,12.097489396916671,2,False,"['LAG_SCREWS', 'NAILS']"
BEAM.TYPE,149.33126230693634,146.32931169162634,3.001950615309994,0.25,12.007802461239976,3,False,"['CONTINUOUS', 'DOUBLE_T', 'FLAT']"
FIRE_RESISTANCE.RATING,149.33126230693634,146.52743063217616,2.8038316747601755,0.25,11.215326699040702,3,False,"['REI 120', 'REI 180', 'REI 240']"
RISK.SPECIAL,149.33126230693634,146.52753140406463,2.803730902871706,0.25,11.214923611486824,3,False,"['HIGH', 'LOW', 'MEDIUM']"
DOOR.TYPE,149.33126230693634,146.61724702543862,2.7140152814977228,0.25,10.856061125990891,6,False,"['AUTOMATIC.PEDESTRIAN', 'FIRE_RESISTANT', 'HINGED', 'REVOLVING', 'TILT_AND_TURN', 'TWO_LEAF']"
CORRIDOR.TYPE,149.33126230693634,146.6696992483999,2.6615630585364443,0.25,10.646252234145777,2,False,"['PROTECTED', 'STEPPED']"
ELEMENT.TYPE,149.33126230693634,146.80811047570208,2.5231518312342587,0.25,10.092607324937035,6,False,"['CEILING', 'COMPOSITE', 'FIRE_COMPARTMENTALIZATION', 'STRUCTURAL', 'VERTICAL_SEPARATOR', 'WALL']"
MATERIAL.TYPE,149.33126230693634,146.8224295977318,2.5088327092045404,0.25,10.035330836818162,4,False,"['PLYWOOD.PANELS', 'WOOD', 'WOOD.DERIVED.PANELS', 'WOOD.PANELS']"
BUILDING.AREA.TOTAL_CONSTRUCTED,149.33126230693634,147.00338010322457,2.3278822037117664,0.25,9.311528814847065,6,True,"[(None, 500.0), (500.0, 1000.0), (1000.0, 2000.0), (2000.0, 5000.0), (5000.0, 10000.0), (10000.0, None)]"
ESTABLISHMENT.USAGE,149.33126230693634,147.05349688567816,2.277765421258181,0.25,9.111061685032723,8,False,"['ADMINISTRATIVE', 'COMMERCIAL', 'PUBLIC.ASSEMBLY', 'PUBLIC.COMMERCIAL', 'PUBLIC.EDUCATION', 'PUBLIC.HOSPITAL', 'PUBLIC.RESIDENTIAL', 'STORAGE']"
FIRE.RESISTANCE.R,149.33126230693634,147.29404577266723,2.037216534269106,0.25,8.148866137076425,3,True,"[(None, 90.0), (90.0, 120.0), (120.0, None)]"
BUILDING.EVACUATION.HEIGHT.DESCENDING,149.33126230693634,147.32484672147024,2.006415585466101,0.25,8.025662341864404,4,True,"[(None, 9.0), (9.0, 15.0), (15.0, 28.0), (28.0, None)]"
STRUCTURE.TYPE,149.33126230693634,147.44266516408186,1.8885971428544792,0.25,7.554388571417917,3,False,"['COLUMN', 'TEXTILE_ENCLOSURE_SUPPORT', 'WALL']"
CONNECTION.TYPE,149.33126230693634,147.4487776190116,1.8824846879247445,0.25,7.529938751698978,4,False,"['BOLTED', 'GLUED_FILLET', 'STEEL_PLATE', 'WOOD_BASED_PANEL']"
BUILDING.AREA.SIZE,149.33126230693634,147.45086438911665,1.8803979178196926,0.25,7.52159167127877,3,True,"[(None, 1000.0), (1000.0, 10000.0), (10000.0, None)]"
AREA.TYPE,149.33126230693634,147.54146477925735,1.789797527678985,0.25,7.15919011071594,37,False,"['AREAS.DE.VENTA.BAJA.AFLUENCIA.PUBLICO', 'AREAS.DE.VENTAS.EN.PLANTAS.DE.SOTANO.BAJA.Y.ENTREPLANTA', 'AREAS.DE.VENTAS.EN.PLANTAS.DIFERENTES.DE.LAS.ANTERIORES', 'AULAS', 'AULAS.DE.ESCUELAS.INFANTILES', 'BUILT_UP.BORDERING_FOREST', 'BUILT_UP.WITHIN_FOREST', 'CONJUNTO.DE.LA.PLANTA.O.DEL.EDIFICIO', 'HOSPITALIZATION', 'INTENSIVE_TREATMENT', 'LOCALES.DIFERENTES.DE.AULAS', 'MERCADOS.Y.GALERIAS.DE.ALIMENTACION', 'OPEN_PARKING', 'OTROS.CASOS.ESTACIONAMIENTOS.VEHICULOS', 'PLANTAS.DE.SOTANO.BAJA.Y.ENTREPLANTA.O.CON.ACCESO.DESDE.EL.ESPACIO.EXTERIOR', 'PLANTAS.DE.VIVIENDA', 'PLANTAS.DIFERENTES.DE.LAS.ANTERIORES', 'PLANTAS.O.ZONAS.DE.OFICINAS', 'PUBLIC_SALES', 'REFUGE_AREA', 'SALAS.DE.ESPERA', 'SALAS.DE.LECTURA.DE.BIBLIOTECAS', 'SALONES.DE.USO.MULTIPLE', 'SERVICIOS.AMBULATORIOS.Y.DE.DIAGNOSTICO', 'SPECIAL_RISK.HIGH', 'SPECIAL_RISK.MEDIUM', 'VESTIBULOS.GENERALES.Y.ZONAS.DE.USO.PUBLICO', 'VESTIBULOS.GENERALES.Y.ZONAS.GENERALES.DE.USO.PUBLICO.EN.PLANTAS.DE.SOTANO.BAJA.Y.ENTREPLANTA', 'VINCULADO.A.UNA.ACTIVIDAD.SUJETA.A.HORARIOS', 'ZONAS.DE.ALOJAMIENTO', 'ZONAS.DE.ESPECTADORES.DE.PIE', 'ZONAS.DE.HOSPITALIZACION', 'ZONAS.DE.PUBLICO.DE.PIE.EN.BARES.CAFETERIAS.ETC', 'ZONAS.DE.PUBLICO.EN.DISCOTECAS', 'ZONAS.DE.PUBLICO.EN.GIMNASIOS', 'ZONAS.DESTINADAS.A.ESPECTADORES.SENTADOS', 'ZONAS.DESTINADAS.A.TRATAMIENTO.A.PACIENTES.INTERNADOS']"
BONDING.MATERIAL.TYPE,149.33126230693634,147.63612784843286,1.6951344585034747,0.25,6.780537834013899,4,False,"['STEEL.BARS', 'WOOD.TO.WOOD', 'WOOD.TO.WOOD_DERIVATIVE', 'WOOD_DERIVATIVE.TO.WOOD_DERIVATIVE']"
MASONRY.RENDERING,149.33126230693634,147.965513116951,1.365749189985337,0.25,5.462996759941348,5,False,"['PLASTERED_BOTH_SIDES', 'PLASTERED_EXPOSED_SIDE', 'RENDERED_BOTH_SIDES', 'RENDERED_EXPOSED_SIDE', 'UNRENDERED']"
STAIR.EVACUATION.DIRECTION,149.33126230693634,148.04232390268933,1.2889384042470056,0.25,5.155753616988022,3,False,"['ASCENDING', 'DOWNWARD', 'UPWARD']"
SLAB.TYPE,149.33126230693634,148.11296222823393,1.2183000787024127,0.25,4.873200314809651,5,False,"['BIDIRECTIONAL', 'CONTINUOUS', 'RIBBED', 'SOLID', 'UNIDIRECTIONAL']"
BUILDING.EVACUATION.HEIGHT.ASCENDING,149.33126230693634,148.23700186649734,1.094260440439001,0.25,4.377041761756004,3,True,"[(None, 1.0), (1.0, 2.8), (2.8, None)]"
MASONRY.THICKNESS,149.33126230693634,148.23894070704623,1.0923215998901128,0.25,4.369286399560451,7,True,"[(None, 40.0), (40.0, 80.0), (80.0, 110.0), (110.0, 140.0), (140.0, 200.0), (200.0, 240.0), (240.0, None)]"
BUILDING.TYPE,149.33126230693634,148.26352660170917,1.0677357052271645,0.25,4.270942820908658,4,False,"['DETACHED', 'EXCLUSIVE_USE', 'SINGLE_FAMILY.GROUPED', 'SINGLE_FAMILY.SEMI_DETACHED']"
ZONE.USAGE,149.33126230693634,148.28513018754398,1.0461321193923538,0.25,4.184528477569415,2,False,"['DEPRIVATION_OF_LIBERTY', 'OUTPATIENT_HEALTHCARE']"
COATING.JOINTS.UNFILLED_GAPS,149.33126230693634,148.29909934423478,1.0321629627015625,0.25,4.12865185080625,2,True,"[(None, 2.0), (2.0, None)]"
ZONE.AREA.CONSTRUCTED,149.33126230693634,148.30310531409202,1.0281569928443162,0.25,4.112627971377265,2,True,"[(None, 500.0), (500.0, None)]"
ESTABLISHMENT.AREA,149.33126230693634,148.30349093896837,1.027771367967972,0.25,4.111085471871888,2,True,"[(None, 500.0), (500.0, None)]"
BUILDING.EVACUATION.HEIGHT.DOWNWARD,149.33126230693634,148.30631027459913,1.024952032337211,0.25,4.099808129348844,2,True,"[(None, 9.0), (9.0, None)]"
EVACUATION.ROUTE.ORIGIN,149.33126230693634,148.30830670580434,1.0229556011319971,0.25,4.0918224045279885,2,False,"['HABITABLE_ZONE', 'PARKING_ZONE']"
REFUGE.AREA.REQUIRED_SPACES,149.33126230693634,148.30929947234318,1.021962834593154,0.25,4.087851338372616,2,True,"[(None, 0.0), (0.0, None)]"
FACADE.OPENING.COUNT,149.33126230693634,148.30948746577604,1.021774841160294,0.25,4.087099364641176,2,True,"[(None, 2.0), (2.0, None)]"
ACCESS_ROAD.LENGTH,149.33126230693634,148.30957721392204,1.0216850930142982,0.25,4.086740372057193,2,True,"[(None, 20.0), (20.0, None)]"
BUILDING.BEDS.COUNT,149.33126230693634,148.3095934376904,1.0216688692459286,0.25,4.086675476983714,2,True,"[(None, 100.0), (100.0, None)]"
ROOF.TYPE,149.33126230693634,148.31003012309048,1.0212321838458536,0.25,4.084928735383414,2,False,"['LIGHT', 'SAFE_OUTDOOR_SPACE']"
ESTABLISHMENT.LODGING_PLACES,149.33126230693634,148.3108003394342,1.0204619675021434,0.25,4.081847870008573,2,True,"[(None, 20.0), (20.0, None)]"
EXIT.OCCUPANCY.MAX,149.33126230693634,148.31087722004463,1.0203850868917073,0.25,4.081540347566829,2,True,"[(None, 500.0), (500.0, None)]"
CONCRETE.TENSIONED_AREA.COVER_THICKNESS,149.33126230693634,148.3108838440021,1.0203784629342465,0.25,4.081513851736986,2,True,"[(None, 50.0), (50.0, None)]"
FACADE.CONSTRUCTIVE_SYSTEM.SURFACE_OCCUPANCY_PERCENTAGE,149.33126230693634,148.31099295788528,1.0202693490510626,0.25,4.08107739620425,2,True,"[(None, 10.0), (10.0, None)]"
CONCRETE.TENSION_ZONE.COVER_THICKNESS,149.33126230693634,148.31105822307507,1.0202040838612731,0.25,4.080816335445093,2,True,"[(None, 50.0), (50.0, None)]"
CORRIDOR.OCCUPANCY.MAX,149.33126230693634,148.31182326025072,1.0194390466856191,0.25,4.0777561867424765,2,True,"[(None, 10.0), (10.0, None)]"
ZONE.TYPE,149.33126230693634,148.35154236749366,0.9797199394426741,0.25,3.9188797577706964,3,False,"['HOSPITALIZATION', 'INTENSIVE_TREATMENT', 'ZONE.OCCUPANCY.NULL']"
SEATING.TYPE,149.33126230693634,148.37204298345603,0.9592193234803119,0.25,3.8368772939212477,3,False,"['DEFINED', 'FIXED', 'UNDEFINED']"
EVACUATION.DIRECTION,149.33126230693634,148.4126617171254,0.9186005898109499,0.25,3.6744023592437998,2,False,"['ASCENDING', 'DESCENDING']"
CONCRETE.STRUCTURE.FIRE_RESISTANCE.MU_FI,149.33126230693634,148.44914715405793,0.8821151528784128,0.25,3.528460611513651,4,True,"[(None, 0.4), (0.4, 0.5), (0.5, 0.6), (0.6, None)]"
MASONRY.MATERIAL,149.33126230693634,148.4704961445788,0.8607661623575495,0.25,3.443064649430198,4,False,"['HOLLOW_BRICK', 'LIGHTWEIGHT_CLAY_BLOCKS', 'PERFORATED_BRICK', 'SOLID_BRICK']"
SLAB.SUPPORT.TYPE,149.33126230693634,148.52274196999468,0.8085203369416547,0.25,3.234081347766619,3,False,"['LINEAR', 'POINT', 'PUNCTUAL']"
STAIR.EVACUATION.HEIGHT,149.33126230693634,148.54032187928817,0.7909404276481666,0.25,3.1637617105926665,3,True,"[(None, 2.8), (2.8, 6.0), (6.0, None)]"
ATRIUM.EVACUATION_CAPACITY,149.33126230693634,148.57020533323498,0.7610569737013577,0.25,3.044227894805431,2,True,"[(None, 500.0), (500.0, None)]"
LOCATION.LEVEL,149.33126230693634,148.5779373019327,0.7533250050036315,0.25,3.013300020014526,2,False,"['ABOVE_GROUND', 'BELOW_GROUND']"
DOOR.FUNCTION,149.33126230693634,148.6031154210798,0.7281468858565461,0.25,2.9125875434261843,3,False,"['EXIT', 'EXIT.BUILDING', 'EXIT.FLOOR']"
COLUMN.REINFORCEMENT.PERCENTAGE,149.33126230693634,148.62621776271828,0.7050445442180546,0.25,2.8201781768722185,2,True,"[(None, 0.02), (0.02, None)]"
MATERIAL.WOOD.DENSITY.CHARACTERISTIC,149.33126230693634,148.66326449403167,0.6679978129046731,0.25,2.6719912516186923,4,True,"[(None, 290.0), (290.0, 450.0), (450.0, 480.0), (480.0, None)]"
MANHOLE_COVER.DIMENSION.WIDTH,149.33126230693634,148.67505028281437,0.6562120241219702,0.25,2.624848096487881,2,True,"[(None, 0.15), (0.15, None)]"
SECTOR.USAGE,149.33126230693634,148.67666378047824,0.654598526458102,0.25,2.618394105832408,8,False,"['ADMINISTRATIVE', 'PARKING', 'PUBLIC.ASSEMBLY', 'PUBLIC.COMMERCIAL', 'PUBLIC.EDUCATION', 'PUBLIC.HOSPITAL', 'PUBLIC.RESIDENTIAL', 'RESIDENTIAL.HOUSING']"
CORRIDOR.VENTILATION.TYPE,149.33126230693634,148.67817253899074,0.6530897679456018,0.25,2.6123590717824072,2,False,"['DUCTS', 'WINDOWS_OR_OPENINGS']"
MANHOLE_COVER.DIMENSION.LENGTH,149.33126230693634,148.67907515053793,0.6521871563984121,0.25,2.6087486255936483,2,True,"[(None, 0.15), (0.15, None)]"
TIMBER.DENSITY.CHARACTERISTIC,149.33126230693634,148.6823910171755,0.648871289760848,0.25,2.595485159043392,2,True,"[(None, 290.0), (290.0, None)]"
TIMBER.TYPE,149.33126230693634,148.69239940810772,0.63886289882862,0.25,2.55545159531448,2,False,"['GLUED_LAMINATED', 'SOLID']"
TRANSFORMATION_CENTER.APPARATUS.DIELECTRIC_INSULATION.FLASH_POINT,149.33126230693634,148.75853705275324,0.5727252541830978,0.25,2.2909010167323913,2,True,"[(None, 300.0), (300.0, None)]"
MATERIAL.WOOD.TYPE,149.33126230693634,148.8598597154214,0.4714025915149307,0.25,1.8856103660597228,2,False,"['MICROLAMINATED_WOOD', 'SOLID_OR_GLUED_LAMINATED_WOOD']"
ESTABLISHMENT.AREA.CONSTRUCTED,149.33126230693634,148.8878694732308,0.4433928337055306,0.25,1.7735713348221225,2,True,"[(None, 5000.0), (5000.0, None)]"
BEAM.LATERAL_THICKENING,149.33126230693634,148.92617850689103,0.4050838000453041,0.25,1.6203352001812164,3,True,"[(None, 0.1), (0.1, 10.0), (10.0, None)]"
DOOR.EVACUATION.CAPACITY,149.33126230693634,148.94230183444915,0.38896047248718446,0.25,1.5558418899487378,4,True,"[(None, 50.0), (50.0, 100.0), (100.0, 200.0), (200.0, None)]"
ESTABLISHMENT.OCCUPANCY,149.33126230693634,148.95501218092662,0.3762501260097224,0.25,1.5050005040388896,3,True,"[(None, 50.0), (50.0, 1000.0), (1000.0, None)]"
STAIRCASE.EVACUATION_DIRECTION,149.33126230693634,148.95621360858183,0.3750486983545045,0.25,1.500194793418018,2,False,"['ASCENDING', 'DESCENDING']"
FLOOR.TYPE,149.33126230693634,148.9564780418773,0.3747842650590485,0.25,1.499137060236194,8,False,"['ABOVE_GROUND', 'BASEMENT', 'EXIT_FLOOR', 'GROUND', 'HOSPITALIZATION', 'INTENSIVE_CARE', 'INTENSIVE_TREATMENT', 'MEZZANINE']"
ESTABLISHMENT.AREA.SIZE,149.33126230693634,148.97171252957827,0.3595497773580689,0.25,1.4381991094322757,3,True,"[(None, 500.0), (500.0, 1500.0), (1500.0, None)]"
PREMISES.VOLUME,149.33126230693634,148.98795704035624,0.34330526658010285,0.25,1.3732210663204114,2,True,"[(None, 500.0), (500.0, None)]"
PREMISES.FIRE_LOAD_TOTAL_WEIGHTED_CORRECTED,149.33126230693634,148.98970497017547,0.3415573367608715,0.25,1.366229347043486,2,True,"[(None, 3000000.0), (3000000.0, None)]"
OCCUPANTS.NUMBER,149.33126230693634,149.0081063800769,0.3231559268594424,0.25,1.2926237074377696,2,True,"[(None, 50.0), (50.0, None)]"
BUILDING.EVACUATION_HEIGHT,149.33126230693634,149.04180463364156,0.2894576732947769,0.25,1.1578306931791076,4,True,"[(None, 10.0), (10.0, 15.0), (15.0, 28.0), (28.0, None)]"
ELEMENT.CONNECTION.TYPE,149.33126230693634,149.11868254652734,0.21257976040899962,0.25,0.8503190416359985,7,False,"['BOLT', 'GLUED_ROD', 'MECHANICAL', 'NAIL', 'PIN', 'PLATE_CONNECTOR', 'RING_CONNECTOR']"
ELEMENT.MATERIAL,149.33126230693634,149.1284348992036,0.202827407732741,0.25,0.811309630930964,2,False,"['STEEL', 'TIMBER']"
PARKING.AREA.SIZE,149.33126230693634,149.16288799600335,0.1683743109329896,0.25,0.6734972437319584,2,True,"[(None, 500.0), (500.0, None)]"
PARKING.AREA,149.33126230693634,149.16600574135933,0.1652565655770104,0.25,0.6610262623080416,2,True,"[(None, 100.0), (100.0, None)]"
EVACUATION.HEIGHT,149.33126230693634,149.1736087137116,0.15765359322475092,0.25,0.6306143728990037,2,True,"[(None, 2.0), (2.0, None)]"
OCCUPANCY,149.33126230693634,149.17543274363965,0.15582956329669173,0.25,0.6233182531867669,2,True,"[(None, 50.0), (50.0, None)]"
SLAB.FIRE_RESISTANCE_R,149.33126230693634,149.24068782701715,0.09057447991918366,0.25,0.36229791967673464,2,True,"[(None, 90.0), (90.0, None)]"
FURNITURE.LOCATION,149.33126230693634,149.2565731103565,0.07468919657983975,0.25,0.298756786319359,4,False,"['ASSEMBLY_HALL', 'AUDITORIUM', 'CINEMA', 'THEATER']"
SLAB.FIRE_RESISTANCE.R,149.33126230693634,149.25810365728938,0.07315864964695606,0.25,0.29263459858782426,3,True,"[(None, 90.0), (90.0, 120.0), (120.0, None)]"
TRANSFORMATION_CENTER.APPARATUS.POWER_INSTALLED_TOTAL,149.33126230693634,149.25904285609067,0.07221945084566528,0.25,0.2888778033826611,2,True,"[(None, 4000.0), (4000.0, None)]"
TRANSFORMATION_CENTER.APPARATUS.POWER_INSTALLED_PER_UNIT,149.33126230693634,149.26376342012537,0.0674988868109665,0.25,0.269995547243866,2,True,"[(None, 1000.0), (1000.0, None)]"
BUILDING.ZONE.TYPE,149.33126230693634,149.26505274417366,0.06620956276267975,0.25,0.264838251050719,3,False,"['HOSPITALIZATION', 'INTENSIVE_TREATMENT', 'OTHER']"
STEEL_PLATE.THICKNESS,149.33126230693634,149.2752762946007,0.05598601233563727,0.25,0.22394404934254908,3,True,"[(None, 2.0), (2.0, 3.0), (3.0, None)]"
STANDARD.CITED.TYPE,149.33126230693634,149.27584363510215,0.05541867183418958,0.25,0.22167468733675832,3,False,"['UNE', 'UNE-EN', 'UNE-EN.ISO']"
ACCESS_ROAD.ALTERNATIVE.COUNT,149.33126230693634,149.27964201498318,0.05162029195315654,0.25,0.20648116781262615,2,True,"[(None, 2.0), (2.0, None)]"
ROUTE.LEADS_TO,149.33126230693634,149.28244866428722,0.04881364264912236,0.25,0.19525457059648943,3,False,"['ACCESSIBLE_BUILDING_EXIT', 'ALTERNATIVE_FIRE_SECTOR_FOR_DISABLED_EVACUATION', 'REFUGE_AREA']"
CHECKOUT.BATTERY.COUNT,149.33126230693634,149.28248135255785,0.048780954378486285,0.25,0.19512381751394514,3,True,"[(None, 5.0), (5.0, 10.0), (10.0, None)]"
ESTABLISHMENT.HAS_PRODUCT_CARTS,149.33126230693634,149.28375520545643,0.04750710147990844,0.25,0.19002840591963377,3,True,"[(None, 0.0), (0.0, 1.0), (1.0, None)]"
SLAB.FIRE_RESISTANCE_CRITERIA,149.33126230693634,149.28589511094188,0.0453671959944586,0.25,0.1814687839778344,3,False,"['E', 'I', 'R']"
BEAM.FIRE_RESISTANCE_RATING,149.33126230693634,149.28629497311624,0.044967333820096655,0.25,0.17986933528038662,3,False,"['REI 30', 'REI 60', 'REI 90']"
STANDARD.ORIGIN,149.33126230693634,149.2865070114091,0.04475529552723856,0.25,0.17902118210895424,3,False,"['CUSTOMS_ASSOCIATION_STATE', 'EEA_AGREEMENT_STATE', 'EU_MEMBER_STATE']"
AREA.FIRE.LOAD_TOTAL_CORRECTED,149.33126230693634,149.28712663699363,0.04413566994270468,0.25,0.17654267977081872,2,True,"[(None, 3000000.0), (3000000.0, None)]"
LOCATION.SEALED,149.33126230693634,149.2879983868502,0.04326392008613311,0.25,0.17305568034453245,3,True,"[(None, 0.0), (0.0, 1.0), (1.0, None)]"
SLAB.FUNCTION.FIRE_COMPARTMENTATION,149.33126230693634,149.28803183430227,0.043230472634064654,0.25,0.17292189053625862,3,True,"[(None, 0.0), (0.0, 1.0), (1.0, None)]"
BEAM.FLEXION.RATIO_IY_IX,149.33126230693634,149.28842213103295,0.042840175903393174,0.25,0.1713607036135727,3,True,"[(None, 1.5), (1.5, 2.0), (2.0, None)]"
SUPPORT.WALL.THICKNESS_CLASS,149.33126230693634,149.28904005162778,0.04222225530855894,0.25,0.16888902123423577,3,False,"['CLASS.1', 'CLASS.2', 'CLASS.3']"
LOCATION.BELOW_EXIT_FLOOR,149.33126230693634,149.2891945244119,0.0420677825244411,0.25,0.1682711300977644,3,True,"[(None, 0.0), (0.0, 1.0), (1.0, None)]"
STORAGE.HEIGHT,149.33126230693634,149.29055151635228,0.04071079058405758,0.25,0.1628431623362303,2,True,"[(None, 5.0), (5.0, None)]"
BUILDING.OCCUPANCY,149.33126230693634,149.29267218254807,0.03859012438826426,0.25,0.15436049755305703,2,True,"[(None, 500.0), (500.0, None)]"
BUILDING.AREA.PUBLIC_USE,149.33126230693634,149.2933848111113,0.03787749582502897,0.25,0.1515099833001159,2,True,"[(None, 400.0), (400.0, None)]"
ELEMENT.SEPARATES_BUILDING,149.33126230693634,149.29828690561817,0.03297540131816845,0.25,0.1319016052726738,2,True,"[(None, 1.0), (1.0, None)]"
BUILDING.OCCUPIES_ENTIRE_BUILDING,149.33126230693634,149.30051705549857,0.03074525143776441,0.25,0.12298100575105764,2,True,"[(None, 1.0), (1.0, None)]"
FLOOR_SLAB.LOWER_LINING,149.33126230693634,149.30201474484278,0.029247562093559054,0.25,0.11699024837423622,2,True,"[(None, 1.0), (1.0, None)]"
